no,text
213,학생의 의견을 많이 반영했으면 좋겠고 비리를 저지르지 않는 깨끗하고 건강한 학교가 됐으면 좋겠다.
216,"학교운동장인지 주차장인지 개선을 요함, 주차장을 따로 해놓는 게 보기 좋을 것 같다. 운동장에 있는 계단이 너무 칙칙함. "
220,행정사무실 직원들이 학생들에게 친절하고 반말을 하지 말았으면 좋겠다 홍보를 더 많이 하고 지역 사회에 봉사를 많이 해서 이미지가 개선되었으면 하는 바람이다
221,"설문시 질문에 대해서 좀 더 신경써 주셔서 주체가 학교인지 학생인지 한눈에 알아볼 수 있도록 해주셨으면 좋겠습니다. 
개명때부터 여러 문제들까지 겪고 지켜보면서 학교와 여러 간담회와 학생회들간의 자리를 통해서 학교에서 학생들에게 이해를 바란다는 소통하려는 노력은 느낄 수 있었습니다. 하지만 결과적으로 학교가 나아가는 방향이 학생들의 의견이 적극 수렴된 민주적인 절차를 걸쳤다고 생각되기는 어려웠습니다."
225,이름이 정말 싫습니다 이름만 아니면 자부심 느낄것 같습니다
226,사소한 장점이 있지만 낯선 대학이름때문에 그 장점까지 다 가려진다.
243,학교 이름 바꿔주세요
245,"학생회가 너무 친목적인것 같습니다 조금더 일반 학생들과 대화가 필요하다고 생각합니다
그리고 학생들은 학교에 등록금을 냅니다  학교에 내는 비용은 다른  수도권 대학과 별차이가없지만 학교에 질은 천지차이입니다 즉 학교에 돈을 투자하지만 학교에 대한 재투자가 없는것 같습니다"
246,.
248,"학교 홍보 및 인식 개선에 대한 노력, 학교 재정 투명화"
249,장학금제도 늘려서 많우 학생들이 받을수 있도록 해주세요. 도서관  공간을 넓혀서 도서할수 있는 공간과 학습할수 있는 공간으로 이용할수 있게 해주세요.
250,장학금제도 늘려서 많우 학생들이 받을수 있도록 해주세요. 도서관  공간을 넓혀서 도서할수 있는 공간과 학습할수 있는 공간으로 이용할수 있게 해주세요.
253,"땅 좀 넓히고 건물 좀 세워라 
쉬는 공간이 너무없다 솔직히 학교 세운지 60년이 다 되 가는데 그때 동안 뭐했냐? 축제도 거지같다"
255,여자화장실 여성용품활성화 부탁드립니다.
257,과학관에도 wifi 설치 좀 해주시면 좋겠습니다.
258,학교 운동장 좀 쓰게 해주세요
261,화장실 안에 문 하나 더 만들어주세요 불편하네요
263,강의실이 너무 춥다
267,"공지사항 검색창이 있으면 좋겠습니다.
수강신청시 장바구니가 있으면 좋겠습니다. 
수강신청시 과목검색기능이 있으면 좋겠습니다."
268, 연약한열람실
270,"기숙사 너무추워요
학교가좀더 발전되고바뀌면좋겠어요
학교이름도바뀌면좋겠어요"
273,학생회에서는 신속히 일을 처리하여 결과를 학생들에게 모두 알려주고 총장을 하루 빨리 정하기를 바람
276,"학교와 세계 열방을 위한 기도회를 정기적으로 개최하면 좋겠습니다.
학생들이 먼저 자신이 다니는 대학을 사랑할 수 있도록 만들어주시면 좋겠습니다."
280,축구단 그 이후로 어떻게됐나요?
286,학생들 의견에 귀기울이는 학교가 되었으면 합니다. 
288,학생들의 의견 좀 제발 반영합시다. 
289,"휴식하는 공간이 여자와 남자가 함께 사용한다. 그리고 청소가 전혀되어있지않아 놀란적이 있다. 남 녀 따로 사용할 수 있는 휴식공간이 필요하다, 뿐만 아니라 공부할수있는 공간이 너무 작고, 공부를 하고 싶게 만들지않는다. "
291,휴게실좀 만즐어주세요 강의실 오래된 스크린좀 깨긋한걸로 바꿔주새요
