stopword
하다
없다
같다
있다
되다
최다
가다
나다
많다
말다
않다
오다
주다
영화
보다
들다
나오다
모르다
알다
싶다
대하다
지다
살다
에이드
크다
자체
갈다
정도
줏다
보이다
받다
만들다
영화관
주인공
지나다
치다
필요
이철호
칼럼
여기
지언
가깝다
위하다
지언
여기
