stopword
생각
그러다
가지다
그것
그렇다
하다
있다
없다
주다
보다
살다
않다
모르다
줏다
지다
싶다
알다
받다
가다
같다
잡다
되다
갈다
나다
오다
이거
나오다
쓸다
