stopword
ai
bis
cp
decision
depression
dl
drop
efsf
eu
fast
g20
gdp
greater
hometax
ic
ict
imf
informed
insurance
irs
koica
ktx
mb
mb¡§±«
mers
oda
oecd
plague
rp
sk
slow
sns
soc
social
tf
thinking
tk
url
van
ys
