stopword
대통령
갈다
하다
있다
되다
만들다
위하다
없다
않다
주다
가다
지다
드리다
많다
내다
살다
가지다
대하다
오다
갈다
그것
그러다
이번
국민
대한민국
여러분
이철호
가깝다
여기
통하다
높다
칼럼
주간
