originWord, changeWord
지식 재산,지식재산
산업 혁명,산업혁명
4차 산업혁명,사차산업혁명
4차 산업,사차산업혁명
4차산업혁명,사차산업혁명
컨트롤 타워,컨트롤타워
총괄 타워,컨트롤타워
4차혁명,사차산업혁명
콘트롤 타워,컨트롤타워
콘트롤타워,컨트롤타워
지식재산권,지식재산
적극적,적극
국가,정부
중앙 정부,정부
중앙정부,정부
조직 개편,조직개편
행정 체계,행정체계
행정부,정부
ip,지식재산
지재,지식재산권
지재권,지식재산권
알리다,홍보
해당 부처,해당부처
인재,인적자원
듣다,목소리
대비,대책
규제 개혁,규제개혁
현정부,정부
현 정부,정부
