stopword
보다
같다
보이다
말다
크다
하다
있다
대하다
주다
되다
않다
위하다
지다
좋다
가다
오다
사료
없다
나가다
통하다
받다
바라다
만들다
그것
줏다
두다
어렵다
따르다
높다
낮다
인하다
이러하다
때문
가지다
느끼다
의하다
나다
많다
맞다
잡다
나누다
관하다
강하다
떨어지다
갖다
누구
열다
그렇다
차산업
무엇
이전
알다
바뀌다
생각
이루다
경우
부분
지금
